INFO 2024-03-19 15:53:48,372 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:48,672 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:48,899 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:49,183 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:49,466 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:49,747 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:50,036 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:53:50,268 basehttp 8676 8288 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
INFO 2024-03-19 15:54:16,686 autoreload 11588 8632 Watching for file changes with StatReloader
INFO 2024-03-19 15:54:17,593 basehttp 11588 8616 "GET /salao/ HTTP/1.1" 200 3321
INFO 2024-03-19 15:54:17,712 basehttp 11588 10804 "GET /static/js/base_js.js HTTP/1.1" 200 725
INFO 2024-03-19 15:54:17,713 basehttp 11588 8616 "GET /static/css/base_style.css HTTP/1.1" 200 3779
INFO 2024-03-19 15:54:17,727 basehttp 11588 4128 "GET /static/salao/css/home.css HTTP/1.1" 200 0
INFO 2024-03-19 15:54:17,774 basehttp 11588 9140 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:54:17,777 basehttp 11588 9028 "GET /static/salao/js/home.js HTTP/1.1" 200 0
INFO 2024-03-19 15:54:18,009 basehttp 11588 9140 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:54:20,528 basehttp 11588 9140 "GET /salao/financeiro/ HTTP/1.1" 200 6920
